province,year,resource_response_type,province_resource_response_type,resource_response_score,medical_staff_10k_persons,medical_institutions_count,census_2020_population,census_2020_age65_plus_pct,medical_staff_per_10k_population,medical_institutions_per_million_population,medical_staff_growth_5y,medical_institutions_growth_5y,pm25_latest_year,pm25_population_weighted_ug_m3,pm25_pressure_percentile,province_risk_exposure_score,province_risk_exposure_type,province_burden_pressure_score,province_risk_exposure_score,province_combined_pressure_score,province_response_score,province_adaptation_gap_score,province_adaptation_gap_percentile,province_abcd_type,province_d_policy_score,province_d_payment_policy_score,chronic_policy_execution_score,chronic_policy_execution_type,chronic_demo_zone_count_2014_2026,chronic_demo_zone_count_recent_2020_2026,province_d_policy_type,province_d_policy_readiness,nbs2024_death_rate_per_mille_candidate,nbs2024_natural_growth_rate_per_mille_candidate,nbs2024_urban_population_share_pct_candidate,nbs2024_gross_regional_product_100m_yuan_candidate,nbs2024_urbanization_percentile_candidate,nbs2024_grp_percentile_candidate,nbs_mortality_panel_year_count,nbs_mortality_panel_years,nbs_mortality_latest_death_rate_per_mille_candidate,nbs_mortality_latest_death_rate_change_yoy_candidate,gbd2021_ncd_age_standardized_daly_rate_per100k,gbd2021_ncd_daly_rate_change_1990_2021_pct,gbd2021_ncd_daly_percentile,gbd2017_four_cause_daly_sum_per100k,gbd2021_ncd_mortality_percentile,freshness_rank_shift_2021_minus_2017,health_outcome_anchor_score,health_outcome_anchor_type,health_outcome_anchor_consistency_score,health_outcome_anchor_consistency_type,nbs_latest_crude_death_percentile,nbs2024_medical_beds_10k_candidate,nbs2024_medical_insurance_enrollment_10k_candidate,nbs2024_medical_insurance_fund_income_100m_candidate,nbs2024_medical_insurance_fund_expenditure_100m_candidate,c_layer_qc_pass_fields,c_layer_qc_status,c_layer_manual_review_required_for_core_score,drg_pilot_city_count,dip_pilot_city_count,payment_reform_city_count_total,policy_first_event_year,china_local_policy_execution_score,china_local_policy_execution_type,policy_execution_scored_domain_count,national_policy_milestone_domain_count,family_doctor_policy_milestone_available,hierarchical_care_policy_milestone_available,healthy_city_policy_milestone_available,policy_exposure_note,dominant_risk_triplet,dominant_disease_triplet,global_china_profile,national_top_risks_summary,province_policy_priority,recommended_policy_package,card_text,data_caveat
湖南省,2024,人均资源低位,高龄承压资源短板型,0.24677419354838714,68.5,57611.0,66444864.0,14.81,103.0929945164761,867.0497090640444,0.10787643538735248,0.006657347544993808,2024,36.11024491272759,0.7419354838709677,0.6814516129032259,省级压力高位,0.8548387096774194,0.4423963133640553,0.6814516129032259,0.24677419354838714,0.4346774193548387,1.0,高压低响应型,0.805733870967742,0.98,0.592741935483871,慢病政策执行中位,16,9,高政策暴露；慢病政策执行中位,D层政策暴露高位,8.93,-3.04,62.07,53231.0,0.2903225806451613,0.7096774193548387,6,2018;2019;2021;2022;2023;2024,8.93,-0.1500000000000003,19094.2,-38.2,,16288.6,0.3548387096774194,-0.5483870967741935,0.5080645161290323,NCD健康结局中位锚点,0.6290322580645162,低一致性需解释,0.8709677419354839,52.32,62273.0,1192.9,10134.0,3,field_level_reviewed_partial,True,1.0,3.0,4.0,2019,0.805733870967742,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"吸烟(7.0,P66) / 高钠饮食(46.7,P55) / PM2.5(50.6,P45)",心血管疾病(7569.7) / 肿瘤(4989.3) / 慢性呼吸系统疾病(2292.7),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先做资源补短板+主导风险前移治理,高血压筛查、控盐行动和基层连续用药；PM2.5协同治理、心肺慢病筛查和高风险人群防护；无烟环境执法、戒烟门诊和烟草风险宣传,"湖南省当前为高龄承压资源短板型。省级GBD显示压力高但资源响应不足；主导风险为吸烟(7.0,P66) / 高钠饮食(46.7,P55) / PM2.5(50.6,P45)，主导疾病负担为心血管疾病(7569.7) / 肿瘤(4989.3) / 慢性呼吸系统疾病(2292.7)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
黑龙江省,2024,人均资源低位,高龄承压资源短板型,0.29838709677419356,34.45,22535.0,31850088.0,15.61,108.16296645710995,707.5333669407759,0.1272905759162306,0.10601226993865032,2024,32.51945005683872,0.6129032258064516,0.7314516129032258,省级压力高位,0.8225806451612904,0.5622119815668202,0.7314516129032258,0.29838709677419356,0.43306451612903224,0.967741935483871,高压低响应型,0.7451290322580646,0.98,0.4580645161290322,慢病政策执行中位,11,7,高政策暴露；慢病政策执行中位,D层政策暴露高位,,-6.34,68.05,16476.9,0.6451612903225806,0.22580645161290322,6,2018;2019;2021;2022;2023;2024,9.69,-0.1500000000000003,22739.6,-36.6,,17882.309999999998,0.935483870967742,-0.0645161290322581,0.9516129032258064,NCD健康结局高压锚点,0.956989247311828,高一致性,1.0,27.3,,,616.0,3,field_level_reviewed_partial,True,1.0,3.0,4.0,2019,0.7451290322580646,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"高收缩压(7.5,P84) / 高血糖(1.9,P84) / 饮酒(11.7,P65)",心血管疾病(9441.1) / 肿瘤(5855.0) / 慢性呼吸系统疾病(1347.7),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先做资源补短板+主导风险前移治理,高血压筛查、控盐行动和基层连续用药；糖尿病早筛、体重管理和社区慢病随访；酒精危害干预和重点人群行为风险管理,"黑龙江省当前为高龄承压资源短板型。省级GBD显示压力高但资源响应不足；主导风险为高收缩压(7.5,P84) / 高血糖(1.9,P84) / 饮酒(11.7,P65)，主导疾病负担为心血管疾病(9441.1) / 肿瘤(5855.0) / 慢性呼吸系统疾病(1347.7)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
辽宁省,2024,人均资源中位,相对均衡观察型,0.4,46.82,37137.0,42591407.0,17.42,109.9282773165958,871.9364448326396,0.18023695487774138,0.08467200186926815,2024,32.341358401511954,0.5806451612903226,0.8205645161290323,省级压力高位,0.8467741935483871,0.6843317972350231,0.8205645161290323,0.4,0.42056451612903223,0.9354838709677419,高压低响应型,0.776225806451613,0.96,0.5516129032258066,慢病政策执行中位,15,6,高政策暴露；慢病政策执行中位,D层政策暴露高位,,-5.3,74.18,32612.7,0.8064516129032258,0.5161290322580645,6,2018;2019;2021;2022;2023;2024,9.62,-0.0699999999999985,20922.9,-17.2,,17785.07,0.8387096774193549,-0.2258064516129032,0.8274193548387097,NCD健康结局高压锚点,0.8655913978494624,高一致性,0.967741935483871,33.77,,,911.9,2,field_level_reviewed_partial,True,1.0,2.0,3.0,2019,0.776225806451613,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"高收缩压(8.9,P100) / 饮酒(12.5,P84) / 高BMI(11.1,P82)",心血管疾病(8988.0) / 肿瘤(6011.0) / 糖尿病和肾病(1499.0),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先做资源补短板+主导风险前移治理,高血压筛查、控盐行动和基层连续用药；糖尿病早筛、体重管理和社区慢病随访；酒精危害干预和重点人群行为风险管理,"辽宁省当前为相对均衡观察型。省级GBD显示压力高但资源响应不足；主导风险为高收缩压(8.9,P100) / 饮酒(12.5,P84) / 高BMI(11.1,P82)，主导疾病负担为心血管疾病(8988.0) / 肿瘤(6011.0) / 糖尿病和肾病(1499.0)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
湖北省,2024,人均资源低位,相对均衡观察型,0.25806451612903225,61.59,38897.0,57752557.0,14.59,106.64462873912233,673.5113044431955,0.17024510735322052,0.09522736871744342,2024,37.55882829912527,0.8387096774193549,0.6298387096774193,省级压力中位,0.7741935483870968,0.4354838709677419,0.6298387096774193,0.25806451612903225,0.37177419354838703,0.9032258064516129,低压低响应型,0.8237661290322582,0.96,0.6572580645161292,慢病政策执行中位,21,5,高政策暴露；慢病政策执行中位,D层政策暴露高位,8.52,-3.14,66.35,60013.0,0.5806451612903226,0.8064516129032258,6,2018;2019;2021;2022;2023;2024,8.52,-0.1100000000000012,19097.8,-37.6,,15556.7,0.5483870967741935,-0.4516129032258064,0.5612903225806452,NCD健康结局中位锚点,0.7365591397849462,中一致性,0.7741935483870968,47.58,5552.2,1208.7,1144.0,3,field_level_reviewed_partial,True,1.0,2.0,3.0,2019,0.8237661290322582,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"饮酒(12.4,P81) / PM2.5(59.8,P74) / 高收缩压(6.5,P42)",心血管疾病(7168.9) / 肿瘤(5326.1) / 慢性呼吸系统疾病(1963.2),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先补基层能力和基础服务网络,高血压筛查、控盐行动和基层连续用药；PM2.5协同治理、心肺慢病筛查和高风险人群防护；酒精危害干预和重点人群行为风险管理,"湖北省当前为相对均衡观察型。当前压力不算最高，但响应能力偏弱，应先补资源底盘并监测饮酒(12.4,P81) / PM2.5(59.8,P74) / 高收缩压(6.5,P42)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
江苏省,2024,人均资源中位,相对均衡观察型,0.35161290322580646,94.2,41680.0,84748016.0,16.2,111.15304457392844,491.8109233377216,0.19801602441816102,0.1978388320496609,2024,31.759773469739564,0.5483870967741935,0.6915322580645161,省级压力高位,0.6048387096774194,0.7004608294930875,0.6915322580645161,0.35161290322580646,0.33991935483870966,0.8709677419354839,高压低响应型,0.9469032258064517,0.98,0.9064516129032258,慢病政策执行高位,32,12,高政策暴露；慢病政策执行高位,D层政策暴露高位,7.48,-2.5,75.53,137008.0,0.8709677419354839,0.967741935483871,6,2018;2019;2021;2022;2023;2024,7.48,-0.0699999999999994,16179.6,-34.2,,12929.72,0.1290322580645161,-0.3870967741935484,0.2161290322580645,NCD健康结局低压锚点,0.7580645161290323,中一致性,0.4193548387096774,60.41,8139.1,2735.0,2491.7,5,field_level_reviewed_high_confidence,False,1.0,3.0,4.0,2019,0.9469032258064516,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"饮酒(13.6,P94) / 高BMI(11.4,P87) / PM2.5(68.4,P84)",肿瘤(5522.9) / 心血管疾病(4607.6) / 慢性呼吸系统疾病(1720.2),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先做资源补短板+主导风险前移治理,PM2.5协同治理、心肺慢病筛查和高风险人群防护；糖尿病早筛、体重管理和社区慢病随访；酒精危害干预和重点人群行为风险管理,"江苏省当前为相对均衡观察型。省级GBD显示压力高但资源响应不足；主导风险为饮酒(13.6,P94) / 高BMI(11.4,P87) / PM2.5(68.4,P84)，主导疾病负担为肿瘤(5522.9) / 心血管疾病(4607.6) / 慢性呼吸系统疾病(1720.2)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
重庆市,2024,人均资源中位,相对均衡观察型,0.37258064516129036,34.56,23815.0,32054159.0,17.08,107.81752221295216,742.9613111983379,0.19999999999999996,0.13097782210191378,2024,33.3397260273973,0.6451612903225806,0.6592741935483871,省级压力中位,0.6532258064516129,0.49078341013824883,0.6592741935483871,0.37258064516129036,0.28669354838709676,0.8387096774193549,低压低响应型,0.48894354838709675,0.47,0.5120967741935484,慢病政策执行中位,14,4,中政策暴露；慢病政策执行中位,D层政策暴露中位,8.87,-2.88,72.14,32193.2,0.7741935483870968,0.4838709677419355,6,2018;2019;2021;2022;2023;2024,8.87,-0.0300000000000011,20224.5,-40.7,,14126.079999999998,0.6774193548387096,-0.0322580645161291,0.6951612903225807,NCD健康结局高压锚点,0.9301075268817204,高一致性,0.8064516129032258,24.79,3133.7,765.9,644.3,4,field_level_reviewed_high_confidence,True,1.0,0.0,1.0,2019,0.4889435483870967,地方政策执行中位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"高钠饮食(46.9,P58) / 高收缩压(6.7,P56) / PM2.5(53.4,P55)",心血管疾病(5408.3) / 肿瘤(4787.4) / 慢性呼吸系统疾病(2872.8),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先补基层能力和基础服务网络,高血压筛查、控盐行动和基层连续用药；PM2.5协同治理、心肺慢病筛查和高风险人群防护,"重庆市当前为相对均衡观察型。当前压力不算最高，但响应能力偏弱，应先补资源底盘并监测高钠饮食(46.9,P58) / 高收缩压(6.7,P56) / PM2.5(53.4,P55)。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
安徽省,2024,人均资源中位,相对均衡观察型,0.36451612903225805,59.9,32635.0,61027171.0,15.01,98.15300139015129,534.7618030663751,0.31764188297404305,0.23453754492150547,2024,36.4462661147424,0.7741935483870968,0.6125,省级压力中位,0.5725806451612903,0.5898617511520737,0.6125,0.36451612903225805,0.247983870967742,0.8064516129032258,低压低响应型,0.8018548387096776,1.0,0.5596774193548388,慢病政策执行中位,16,7,高政策暴露；慢病政策执行中位,D层政策暴露高位,8.41,-2.24,62.57,50625.2,0.3225806451612903,0.6774193548387096,6,2018;2019;2021;2022;2023;2024,8.41,-0.1500000000000003,17889.9,-40.8,,13665.97,0.2903225806451613,-0.3548387096774194,0.3661290322580645,NCD健康结局中位锚点,0.7204301075268817,中一致性,0.7096774193548387,44.9,6252.3,1116.6,932.6,5,field_level_reviewed_high_confidence,False,1.0,6.0,7.0,2019,0.8018548387096776,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"高钠饮食(48.8,P87) / 吸烟(7.3,P81) / PM2.5(53.9,P61)",心血管疾病(6068.7) / 肿瘤(5068.2) / 慢性呼吸系统疾病(1509.9),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先补基层能力和基础服务网络,高血压筛查、控盐行动和基层连续用药；PM2.5协同治理、心肺慢病筛查和高风险人群防护；无烟环境执法、戒烟门诊和烟草风险宣传,"安徽省当前为相对均衡观察型。当前压力不算最高，但响应能力偏弱，应先补资源底盘并监测高钠饮食(48.8,P87) / 吸烟(7.3,P81) / PM2.5(53.9,P61)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
四川省,2024,人均资源中位,相对均衡观察型,0.4854838709677419,94.22,74797.0,83674866.0,16.93,112.60251077067754,893.9004455650995,0.18754726493571972,-0.10696547113042643,2024,31.54050762738181,0.5161290322580645,0.7012096774193549,省级压力高位,0.782258064516129,0.46313364055299544,0.7012096774193549,0.4854838709677419,0.215725806451613,0.7741935483870968,高压低响应型,0.8888387096774193,0.98,0.7774193548387096,慢病政策执行高位,24,12,高政策暴露；慢病政策执行高位,D层政策暴露高位,9.43,-3.0199999999999996,60.1,64697.0,0.22580645161290322,0.8709677419354839,6,2018;2019;2021;2022;2023;2024,9.43,-0.0099999999999997,19521.9,-32.2,,16010.22,0.4193548387096774,-0.3225806451612902,0.6161290322580645,NCD健康结局中位锚点,0.6881720430107527,中一致性,0.935483870967742,71.49,8082.6,1899.9,1519.6,4,field_level_reviewed_high_confidence,True,1.0,3.0,4.0,2019,0.8888387096774193,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"吸烟(7.2,P71) / 饮酒(10.7,P52) / 高钠饮食(45.8,P48)",肿瘤(5936.0) / 心血管疾病(5766.0) / 慢性呼吸系统疾病(3185.8),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先做资源补短板+主导风险前移治理,高血压筛查、控盐行动和基层连续用药；无烟环境执法、戒烟门诊和烟草风险宣传；酒精危害干预和重点人群行为风险管理,"四川省当前为相对均衡观察型。省级GBD显示压力高但资源响应不足；主导风险为吸烟(7.2,P71) / 饮酒(10.7,P52) / 高钠饮食(45.8,P48)，主导疾病负担为肿瘤(5936.0) / 心血管疾病(5766.0) / 慢性呼吸系统疾病(3185.8)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
山东省,2024,人均资源中位,相对均衡观察型,0.5612903225806453,118.16,90070.0,101527453.0,15.13,116.38231484049935,887.1492127355939,0.18089146512092746,0.07718618446230385,2024,36.067648062030635,0.7096774193548387,0.6689516129032258,省级压力高位,0.5725806451612904,0.7327188940092165,0.6689516129032258,0.5612903225806453,0.10766129032258054,0.7419354838709677,高压高响应型,0.8991129032258065,1.0,0.7758064516129033,慢病政策执行高位,26,11,高政策暴露；慢病政策执行高位,D层政策暴露高位,8.09,-1.67,66.48,98565.8,0.6129032258064516,0.9354838709677419,6,2018;2019;2021;2022;2023;2024,8.09,-0.0999999999999996,17782.8,-30.8,,14265.5,0.2258064516129032,-0.5161290322580645,0.3387096774193548,NCD健康结局中位锚点,0.6827956989247312,中一致性,0.5806451612903226,76.1,9588.3,2262.5,2059.2,5,field_level_reviewed_high_confidence,False,1.0,7.0,8.0,2019,0.8991129032258065,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"高BMI(11.6,P90) / 高钠饮食(50.2,P90) / PM2.5(68.6,P87)",心血管疾病(6644.5) / 肿瘤(5136.0) / 慢性呼吸系统疾病(1544.6),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先做高负担精细化管理和服务效率提升,高血压筛查、控盐行动和基层连续用药；PM2.5协同治理、心肺慢病筛查和高风险人群防护；糖尿病早筛、体重管理和社区慢病随访,"山东省当前为相对均衡观察型。压力高但响应基础不弱，应把资源投向主导风险和疾病链条；主导风险为高BMI(11.6,P90) / 高钠饮食(50.2,P90) / PM2.5(68.6,P87)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
福建省,2024,人均资源低位,年轻结构资源短板型,0.3016129032258065,41.04,30543.0,41540086.0,11.1,98.7961363392459,735.2656901095486,0.22763984445109187,0.09914351518641129,2024,19.399028487511337,0.12903225806451613,0.372983870967742,省级压力中位,0.29838709677419356,0.5345622119815668,0.372983870967742,0.3016129032258065,0.07137096774193552,0.7096774193548387,低压低响应型,0.7818951612903227,1.0,0.5153225806451613,慢病政策执行中位,13,8,高政策暴露；慢病政策执行中位,D层政策暴露高位,6.71,0.24,71.8,57761.0,0.7419354838709677,0.7741935483870968,6,2018;2019;2021;2022;2023;2024,6.71,-0.2400000000000002,16085.5,-38.1,,10079.02,0.064516129032258,-0.1612903225806451,0.1112903225806451,NCD健康结局低压锚点,0.8602150537634409,高一致性,0.2903225806451613,24.89,3823.8,,,3,field_level_reviewed_partial,True,1.0,4.0,5.0,2019,0.7818951612903227,地方政策执行高位,2,3,True,True,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,"高钠饮食(48.5,P81) / 吸烟(7.3,P74) / 饮酒(11.9,P68)",肿瘤(4535.3) / 心血管疾病(3457.0) / 慢性呼吸系统疾病(1144.9),类型1-高负担转型承压型 / 非传染病高压期 / 高压高响应型,高收缩压 / 吸烟 / 高血糖,优先补基层能力和基础服务网络,高血压筛查、控盐行动和基层连续用药；无烟环境执法、戒烟门诊和烟草风险宣传；酒精危害干预和重点人群行为风险管理,"福建省当前为年轻结构资源短板型。当前压力不算最高，但响应能力偏弱，应先补资源底盘并监测高钠饮食(48.5,P81) / 吸烟(7.3,P74) / 饮酒(11.9,P68)；医保支付改革试点暴露较强，可优先承接服务效率和资源配置优化情景。",已补GBD 2017省级疾病负担与风险SEV、GBD 2021省级NCD年龄标化健康结局锚点、地级市人口加权PM2.5、人口与卫生资源，并接入NHSA DRG/DIP、NHC慢病示范区、地方政策执行指标和NBS粗死亡率敏感性面板；床位、医保和基金收支为字段级QC候选不纳入核心评分，当前不声明省级健康结果强因果。
