iso3,year,analysis_population_total,gbd_rate_cardiovascular_diseases,gbd_rate_chronic_respiratory_diseases,gbd_rate_neoplasms,gbd_rate_diabetes_kidney,gbd_rate_cardiovascular_diseases_per100k,gbd_rate_chronic_respiratory_diseases_per100k,gbd_rate_neoplasms_per100k,gbd_rate_diabetes_kidney_per100k,life_expectancy,life_expectancy_male,life_expectancy_female,hdi,population_thousands,pop_density,median_age,pop_growth_rate,tfr,wdi_population_65_plus_pct,wdi_population_total,wdi_urban_population_pct,wdi_gdp_per_capita,wdi_gini,dbd_smoking,dbd_pm25,dbd_high_bmi,dbd_high_glucose,dbd_high_sbp,dbd_dietary_risks,dbd_smoking_per100k,dbd_pm25_per100k,dbd_high_bmi_per100k,dbd_high_glucose_per100k,dbd_high_sbp_per100k,dbd_dietary_risks_per100k,wdi_diabetes_prevalence,wdi_pm25,mpower_group,beds_10k,doctors_10k,nurses_10k,uhc_index,che_pct_gdp,che_pc_usd,govt_he_pct,ext_he_pct,wdi_health_expenditure_per_capita,wdi_government_health_expenditure_pct,wdi_external_health_expenditure_pct,wdi_hospital_beds,wdi_physicians,wdi_nurses_midwives,wdi_out_of_pocket_pct,wb_hnp_hci,wb_hnp_skilled_birth_attendance,wb_hnp_immunization_dpt,wb_hnp_immunization_measles,wb_hnp_immunization_hepb3,vulnerability_type_code,vulnerability_type_label,overall_vulnerability_score,burden_pressure_score,risk_pressure_score,combined_pressure_score,resource_response_score,context_support_score,adjusted_response_score,adaptation_gap_score,response_diagnosis_type,component__beds_10k,component__doctors_10k,component__nurses_10k,component__uhc_index,component__che_pct_gdp,component__che_pc_usd,component__govt_he_pct,component__wdi_health_expenditure_per_capita,component__wdi_government_health_expenditure_pct,component__wdi_hospital_beds,component__wb_hnp_immunization_dpt,component__wb_hnp_immunization_measles,component__wb_hnp_immunization_hepb3,component__ext_he_pct,component__wdi_external_health_expenditure_pct,component__wdi_out_of_pocket_pct,weakest_resource_components,dominant_risk_triplet
AFG,2023,41454761.0,53148.62525903499,4398.881414504418,10155.160292733302,6302.473008237649,128.20873640794838,10.611281571504945,24.496969823884168,15.20325496084189,66.0346,64.4667,67.5357,0.496,41454.761,63.8457,16.9404,2.846,4.8403,2.37753752819851,41454761.0,25.4730529631167,9005.93663621853,,7793.921427700619,30691.34360975992,9560.827867902462,10905.80159866672,31503.55058450196,19739.868720425824,18.80102849393009,74.03575094730354,23.06328063959279,26.307717945031015,75.9950119710061,47.617856777478046,,,,3.525529744,3.17,5.49,42.0,14.9857626,59.06770706,1.65323246,21.20718193,,,,,,,,,,,,,2.0,类型2-低缓冲低承载型,-0.2078197986898592,0.11237046632124352,0.26302533103051234,0.18769789867587794,0.22887995544152354,0.13572163439848547,0.21024829123291594,-0.022550392557038,低压低响应型,0.01935483870967742,0.17439106901217863,0.07765023632680622,0.18199481865284975,0.9896224332082137,0.22912063632346444,0.0006623978803267829,,,,,,,0.15824321341867137,,,component__govt_he_pct / component__beds_10k / component__nurses_10k,高收缩压 / 高血糖 / 膳食风险
AGO,2023,36749906.0,30514.224438421406,6675.303963721912,19250.04360373612,8793.740406941472,83.03211561526554,18.164138878945465,52.38120501243221,23.92860653015404,64.617,62.0991,67.1445,0.616,36749.906,29.4777,16.4524,3.064,5.1239,2.81144936806097,36749906.0,69.8515032220457,369790.1664034521,,7608.985388383397,18265.99934816333,7169.09727818469,9818.803493342788,16881.006393785625,11803.935493589674,20.704775104413592,49.703526719669235,19.50779759323654,26.71790097461144,45.93482876877461,32.11963451985339,,,,,,,44.0,2.54692864,76.07118225,44.52539825,7.16891336,,,,,,,,,,,,,3.0,类型3-相对稳健型,-0.4471399082288371,0.23299870466321243,0.15738341968911918,0.1951910621761658,0.25113504140549336,0.5033489593342104,0.3015778249912368,-0.106386762815071,低压低响应型,,,,0.20174870466321243,0.051225436078604546,0.28722934158197083,0.4011923161845882,,,,,,,0.3142794085190907,,,component__che_pct_gdp / component__uhc_index / component__che_pc_usd,高收缩压 / 高血糖 / 膳食风险
ALB,2023,2414095.0,10585.918564220432,1097.0838925192477,4379.159352788368,636.1342758468534,438.50463897321487,45.44493454148439,181.39962813345656,26.350838548062665,79.6019,77.7278,81.4459,0.81,2811.655,102.6226,36.2768,-0.711,1.3479,16.3020000675759,2414095.0,58.2106086137857,264992.0707801872,,3797.243645367504,2321.5893018413967,1413.0523813048403,1839.3590156027983,6251.96793244796,3684.458297327085,157.29470652014538,96.16810033745136,58.53342065266033,76.19248685750968,258.97770934648224,152.6227550004074,,,,,,,71.0,7.05240345,590.62799072,49.59543228,0.87209868,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,0.2594692664423628,0.6751403281519862,0.7637449625791595,0.7194426453655729,0.5860940590191814,0.7362875067933585,0.6161327485740169,0.103309896791556,高压高响应型,,,,0.5765328151986183,0.6601898873923604,0.6851524524966858,0.47228968867299626,,,,,,,0.5363054513352461,,,component__govt_he_pct / component__ext_he_pct / component__uhc_index,高收缩压 / 吸烟 / 高血糖
AND,2023,80856.0,175.3657386091529,34.1917307134299,224.6406153110692,27.81059635942728,216.88648784153668,42.287190453930315,277.8280094378515,34.39521663132888,84.0406,82.1004,86.1073,0.913,80.856,172.034,43.1623,1.39,1.0815,15.4181507865836,80856.0,88.8201609217082,43207.420099876006,,83.33516707066683,25.48137370904086,48.872205553486424,45.26217822087774,97.76368359195205,65.46256093246521,103.06615102239392,31.514511859405435,60.44351137019692,55.97875014949756,120.91085830606517,80.96190874204166,,,,,50.43,47.22,75.0,7.69928026,3605.19799805,70.80240631,0.0,4647.50708324991,71.12071228,,,,,10.98071861,,,,,,1.0,类型1-高负担转型承压型,-0.1895240367844691,0.6793501727115717,0.5181706966033391,0.5987604346574554,0.809618936721886,0.8193144730658004,0.8115580439906689,-0.21279760933321346,相对均衡型,,0.9682002706359946,0.5580688723835247,0.677461139896373,0.7228968867299624,0.910958904109589,0.7721351291675866,0.94287680660702,0.7811780947998159,,,,,0.8787243434120503,,0.8836889194769443,component__nurses_10k / component__uhc_index / component__che_pct_gdp,高收缩压 / 吸烟 / 高血糖
ARE,2023,10483751.0,4793.097139554908,413.4692190673581,2941.319861912613,1575.1883769364315,45.71929588517418,3.9439053738242937,28.05598742198869,15.02504568199332,82.9091,81.9778,84.2043,0.94,10642.081,149.8378,31.2317,3.704,1.2,1.69563170962521,10483751.0,85.6680699002526,83713.80155712101,,1313.098943217375,2296.238991146151,2135.124368692737,2311.7110745828713,2769.1135597067296,2102.2709988157735,12.525087091608482,21.90283793602262,20.36603472070957,22.05041949759081,26.413385435296295,20.05266052976433,,,,,29.92,61.56,84.0,4.97095108,2401.52026367,66.77935791,0.0,,,,,,,,,,,,,3.0,类型3-相对稳健型,-1.3461778279365455,0.023909758203799654,0.07012809441565919,0.047018926309729425,0.7414593877846996,0.6423194114579188,0.7216313925193435,-0.674612466209614,相对均衡型,,0.7073748308525034,0.6897366644159352,0.935880829015544,0.3954515345550894,0.8740609809986744,0.7089865312431001,,,,,,,0.8787243434120503,,,component__che_pct_gdp / component__nurses_10k / component__doctors_10k,高收缩压 / 高血糖 / 膳食风险
ARG,2023,45538401.0,106108.61257818872,17971.570022034186,83654.44702150741,29253.208995485427,233.00908738141405,39.46464879615379,183.70088800770017,64.23855109775468,77.3947,74.8049,79.8754,0.865,45538.401,16.3114,32.1217,0.349,1.5,12.2030217969226,45538401.0,92.1945132257907,617950.4695660194,42.4,34205.16208318126,23641.094344083293,37090.46393206088,31285.868254042853,56947.554266817526,42809.46758916412,75.11278686131571,51.91463429750924,81.44876218218747,68.70216688996798,125.05391716941824,94.00740177320702,,,,,50.88,64.87,80.0,10.2695179,1456.98596191,60.22618103,0.84831756,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,-0.129496812094794,0.7307318652849741,0.5846646516983305,0.6576982584916523,0.7731450618915643,0.7284013813954567,0.7641963257923428,-0.10649806730069045,相对均衡型,,0.9702300405953992,0.724848075624578,0.8287996545768567,0.9165378670788253,0.8179407865665046,0.6144844336498123,,,,,,,0.5391745751489737,,,component__ext_he_pct / component__govt_he_pct / component__nurses_10k,高收缩压 / 吸烟 / 高血糖
ARM,2023,2964300.0,12503.833429275632,483.1203969737001,4612.4583127460555,649.1723302945178,421.81403465491456,16.29795894388895,155.6002534408142,21.899683915073297,75.6827,71.3852,79.4535,0.811,2943.393,103.4076,35.8324,2.789,1.714,13.2110458915952,2964300.0,65.6956882008852,796732.1941644744,27.2,4225.801305627855,3779.1573217497744,2114.5605154523505,2105.693790953661,8189.440564936012,4598.672083335356,142.55646545990132,127.48903018418426,71.33422782621025,71.03511085091458,276.26895270168376,155.13517806346712,,,,42.399974451,,,69.0,9.32119179,766.95874023,15.71054554,0.38765869,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,0.0435822661516757,0.4996221934369603,0.8025331030512378,0.6510776482440991,0.5809189133234894,0.7832172112752953,0.6213785729138507,0.029699075330248403,相对均衡型,0.6994906621392191,,,0.5153281519861831,0.8661956281739899,0.7264692885550155,0.0763965555310223,,,,,,,0.6016331935555065,,,component__govt_he_pct / component__uhc_index / component__ext_he_pct,高收缩压 / 吸烟 / 高血糖
ATG,2023,93316.0,188.7132652823903,8.868531298941798,131.3713881570402,107.58570246627744,202.23034129451577,9.503762804815675,140.78120382039543,115.29180683513808,77.5976,74.5494,80.2938,0.851,93.316,212.0807,35.4862,0.5,1.5783,11.2387545477439,93316.0,24.4500156687422,29434.85762596601,,37.956548996881885,16.15571376246534,92.36936864249084,95.06589764575064,131.43105823989453,86.19067354838688,40.675285049596944,17.312908571376116,98.98556372164563,101.87523859332872,140.84514792735922,92.3643036010833,,,,34.2,,,81.0,3.91348195,841.24884033,58.97968292,0.0,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,0.0696106680328827,0.5503022452504318,0.5651986183074266,0.5577504317789292,0.6476138581731506,0.5335076456062408,0.6247926156597687,-0.06704218388083949,相对均衡型,0.59830220713073,,,0.8583765112262521,0.2132921174652241,0.7395050817498895,0.5974828880547582,,,,,,,0.8787243434120503,,,component__che_pct_gdp / component__govt_he_pct / component__beds_10k,高收缩压 / 吸烟 / 高血糖
AUS,2023,26659922.0,46460.72710915254,12366.197149775438,57555.18749657677,10903.714328479376,174.27180435543863,46.384971230506366,215.88655621939463,40.89927318046683,83.9228,82.098,85.7372,0.958,26451.124,3.4431,37.7512,0.985,1.638,17.384024966198,26659922.0,87.4866955653765,64885.113046111066,,15437.90656466426,4156.857654318285,15257.92654499268,18551.85815186927,22799.62373700929,18075.73238195835,57.90679569379183,15.592159850723815,57.23169987141253,69.58706837877946,85.52021921522986,67.80114503695229,,,,,42.28,139.15,89.0,10.39852047,6980.38525391,73.6608429,0.0,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,-0.4252849129221353,0.6703367875647668,0.4305195739781232,0.550428180771445,0.9295955166828039,0.865020952374278,0.9166806038210988,-0.3662524230496539,相对均衡型,,0.9232070365358592,0.9753544902093181,0.9933074265975821,0.9216162508279974,0.9832081307998233,0.8317509383969971,,,,,,,0.8787243434120503,,,component__govt_he_pct / component__ext_he_pct / component__che_pct_gdp,高收缩压 / 吸烟 / 高血糖
AUT,2023,9131761.0,31265.35744195235,3765.092695921272,24416.449949797905,6370.458297704174,342.38037375214213,41.230740663506985,267.37942385699654,69.76155308602769,81.9559,79.5435,84.3191,0.93,9130.429,110.6464,43.0857,-0.124,1.3175,20.1640196753077,9131761.0,69.2265358276021,48011.93127136777,31.2,9503.099544582252,3671.475672765758,7981.237781471788,7881.366442511103,19046.43312178463,11329.768600915626,104.06645054094444,40.20556027217267,87.40086147098889,86.30719137865198,208.57349553700135,124.06992036821404,,,,,55.15,109.37,84.0,11.15297318,6267.93164063,76.50154114,0.0,7049.649005115365,,,,,,16.13623428,,,,,,1.0,类型1-高负担转型承压型,-0.0114445328301476,0.8313903281519861,0.6792602187679907,0.7553252734599885,0.91826039291966,0.7861415223211942,0.8918366187999669,-0.13651134533997844,高压高响应型,,0.9786874154262517,0.9223497636731938,0.935880829015544,0.9547361448443364,0.9761378700839594,0.8699492161625083,0.9855471438403304,,,,,,0.8787243434120503,,0.7623308098187658,component__wdi_out_of_pocket_pct / component__govt_he_pct / component__ext_he_pct,高收缩压 / 吸烟 / 高血糖
