country_name_zh,iso3
安道尔,AND
阿拉伯联合酋长国,ARE
阿富汗,AFG
安提瓜和巴布达,ATG
安圭拉,AIA
阿尔巴尼亚,ALB
亚美尼亚,ARM
安哥拉,AGO
南极洲,ATA
阿根廷,ARG
美属萨摩亚,ASM
奥地利,AUT
澳大利亚,AUS
阿鲁巴,ABW
奥兰群岛,ALA
阿塞拜疆,AZE
波斯尼亚和黑塞哥维那,BIH
巴巴多斯,BRB
孟加拉国,BGD
比利时,BEL
布基纳法索,BFA
保加利亚,BGR
巴林,BHR
布隆迪,BDI
贝宁,BEN
圣巴泰勒米,BLM
百慕大,BMU
文莱,BRN
玻利维亚,BOL
荷属加勒比区,BES
巴西,BRA
巴哈马,BHS
不丹,BTN
布韦岛,BVT
博茨瓦纳,BWA
白俄罗斯,BLR
伯利兹,BLZ
加拿大,CAN
科科斯（基林）群岛,CCK
刚果（金）,COD
中非共和国,CAF
刚果（布）,COG
瑞士,CHE
科特迪瓦,CIV
库克群岛,COK
智利,CHL
喀麦隆,CMR
中国,CHN
哥伦比亚,COL
哥斯达黎加,CRI
古巴,CUB
佛得角,CPV
库拉索,CUW
圣诞岛,CXR
塞浦路斯,CYP
捷克,CZE
德国,DEU
吉布提,DJI
丹麦,DNK
多米尼克,DMA
多米尼加共和国,DOM
阿尔及利亚,DZA
厄瓜多尔,ECU
爱沙尼亚,EST
埃及,EGY
西撒哈拉,ESH
厄立特里亚,ERI
西班牙,ESP
埃塞俄比亚,ETH
芬兰,FIN
斐济,FJI
福克兰群岛,FLK
密克罗尼西亚,FSM
法罗群岛,FRO
法国,FRA
加蓬,GAB
英国,GBR
格林纳达,GRD
格鲁吉亚,GEO
法属圭亚那,GUF
根西岛,GGY
加纳,GHA
直布罗陀,GIB
格陵兰,GRL
冈比亚,GMB
几内亚,GIN
瓜德罗普,GLP
赤道几内亚,GNQ
希腊,GRC
南乔治亚和南桑威奇群岛,SGS
危地马拉,GTM
关岛,GUM
几内亚比绍,GNB
圭亚那,GUY
中国香港特别行政区,HKG
赫德岛和麦克唐纳群岛,HMD
洪都拉斯,HND
克罗地亚,HRV
海地,HTI
匈牙利,HUN
印度尼西亚,IDN
爱尔兰,IRL
以色列,ISR
马恩岛,IMN
印度,IND
英属印度洋领地,IOT
伊拉克,IRQ
伊朗,IRN
冰岛,ISL
意大利,ITA
泽西岛,JEY
牙买加,JAM
约旦,JOR
日本,JPN
肯尼亚,KEN
吉尔吉斯斯坦,KGZ
柬埔寨,KHM
基里巴斯,KIR
科摩罗,COM
圣基茨和尼维斯,KNA
朝鲜,PRK
韩国,KOR
科威特,KWT
开曼群岛,CYM
哈萨克斯坦,KAZ
老挝,LAO
黎巴嫩,LBN
圣卢西亚,LCA
列支敦士登,LIE
斯里兰卡,LKA
利比里亚,LBR
莱索托,LSO
立陶宛,LTU
卢森堡,LUX
拉脱维亚,LVA
利比亚,LBY
摩洛哥,MAR
摩纳哥,MCO
摩尔多瓦,MDA
黑山,MNE
法属圣马丁,MAF
马达加斯加,MDG
马绍尔群岛,MHL
北马其顿,MKD
马里,MLI
缅甸,MMR
