policy_id,policy_label,policy_domain,outcome_column,outcome_label,outcome_family,d5_validation_score,d5_tier,design_integrity_score,bias_sensitivity_score,mechanism_score,china_transfer_readiness_score,claim_precision_score,d6_total_score,d6_grade,d6_claim_level,design_checks,design_passes,design_partials,design_failures,attenuation_fraction_needed_to_lose_p_lt_0_10,omitted_bias_sd_needed_to_flip_sign,matched_province_count,mean_top_transfer_score,mechanism_note,answer_line,boundary_note
mpower_protect_smokefree_strong,MPOWER无烟环境保护强执行,风险治理-控烟,delta_dbd_smoking_per100k,吸烟风险暴露负担年变化,direct_risk_burden_change,0.98,准因果强候选,0.9513333333333334,0.7149166200573138,0.7291666666666666,0.9495505369361257,1.0,0.8822942124366894,金牌主证据,可作为模块D最强主证据：严格准因果强候选，不称随机实验。,12,10,2,0,0.42983324011462765,0.1169166866609867,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER无烟环境保护强执行 -> 吸烟风险暴露负担年变化：证据分=0.88，金牌主证据；可作为模块D最强主证据：严格准因果强候选，不称随机实验。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
mpower_comprehensive_package_high,MPOWER综合控烟政策包高水平,风险治理-控烟,dbd_smoking_per100k,吸烟风险暴露负担,direct_health_or_risk_burden,0.77,稳健政策候选,0.8005,0.8846606220038855,0.7291666666666666,0.9495505369361257,1.0,0.8297006927676065,银牌强候选,可作为模块D备选强候选或主证据旁证。,12,8,3,1,0.7693212440077709,0.1363135166424869,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER综合控烟政策包高水平 -> 吸烟风险暴露负担：证据分=0.83，银牌强候选；可作为模块D备选强候选或主证据旁证。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
hypertension_policy_ready,高血压政策准备度提升,慢病服务-高血压,ncd_hypertension_diagnosis_pct,高血压诊断覆盖率,service_coverage_intermediate,0.96,准因果强候选,0.7818,0.7634010565989133,0.68,0.6495505369361256,1.0,0.762105233315428,银牌强候选,可作为模块D备选强候选或主证据旁证。,12,7,4,1,0.6257223878179974,0.0835132875633049,31,0.7982021477445026,服务覆盖路径机制合理，但后半段健康结果需要单独边界说明。,高血压政策准备度提升 -> 高血压诊断覆盖率：证据分=0.76，银牌强候选；可作为模块D备选强候选或主证据旁证。,服务覆盖/能力路径可以说明政策响应改善，但不直接等同于死亡率或DALY下降。
mpower_tobacco_strong,MPOWER控烟强执行,风险治理-控烟,delta_dbd_smoking_per100k,吸烟风险暴露负担年变化,direct_risk_burden_change,0.8,稳健政策候选,0.712,0.5458154199873613,0.7291666666666666,0.9495505369361257,1.0,0.7243070084247973,铜牌适配候选,进入政策包和中国情景模拟，不单独承担强因果结论。,12,7,3,2,0.09163083997472266,0.1823863376137808,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER控烟强执行 -> 吸烟风险暴露负担年变化：证据分=0.72，铜牌适配候选；进入政策包和中国情景模拟，不单独承担强因果结论。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
primary_care_ncd_ready,基层NCD服务准备度提升,基层NCD连续服务,ncd_diabetes_treatment_pct,糖尿病治疗覆盖率,service_coverage_intermediate,0.6900000000000001,政策适配候选,0.6845,0.7279060463892137,0.55,0.6495505369361256,1.0,0.685329081579779,铜牌适配候选,进入政策包和中国情景模拟，不单独承担强因果结论。,12,6,4,2,0.4558120927784275,0.123325895624511,31,0.7982021477445026,政策包机制可解释，主要用于适配而非单独因果证明。,基层NCD服务准备度提升 -> 糖尿病治疗覆盖率：证据分=0.69，铜牌适配候选；进入政策包和中国情景模拟，不单独承担强因果结论。,服务覆盖/能力路径可以说明政策响应改善，但不直接等同于死亡率或DALY下降。
mpower_protect_smokefree_strong,MPOWER无烟环境保护强执行,风险治理-控烟,dbd_smoking_per100k,吸烟风险暴露负担,direct_health_or_risk_burden,0.4599999999999999,探索性证据,0.7016666666666667,0.17794746512153314,0.7291666666666666,0.9495505369361257,1.0,0.6561894560976066,铜牌适配候选,进入政策包和中国情景模拟，不单独承担强因果结论。,12,6,3,3,0.22060522415212735,0.0003260621262676,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER无烟环境保护强执行 -> 吸烟风险暴露负担：证据分=0.66，铜牌适配候选；进入政策包和中国情景模拟，不单独承担强因果结论。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
mpower_protect_smokefree_strong,MPOWER无烟环境保护强执行,风险治理-控烟,delta_wdi_tobacco_use_pct,WDI当前烟草使用率年变化,other_intermediate,0.38,探索性证据,0.6221666666666666,0.2846059173031008,0.7291666666666666,0.9495505369361257,1.0,0.631391392968473,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,3,4,0.0,0.0948686391010336,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER无烟环境保护强执行 -> WDI当前烟草使用率年变化：证据分=0.63，机制/探索证据；只作机制解释、敏感性或探索材料。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
mpower_tobacco_strong,MPOWER控烟强执行,风险治理-控烟,dbd_smoking_per100k,吸烟风险暴露负担,direct_health_or_risk_burden,0.72,政策适配候选,0.6725,0.0839369367534963,0.7291666666666666,0.9495505369361257,1.0,0.6244576662750403,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,5,2,0.0,0.0279789789178321,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER控烟强执行 -> 吸烟风险暴露负担：证据分=0.62，机制/探索证据；只作机制解释、敏感性或探索材料。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
mpower_tobacco_strong,MPOWER控烟强执行,风险治理-控烟,who_cigarette_prevalence_btsx,WHO卷烟吸烟率,other_intermediate,0.36,探索性证据,0.562,0.4338309034125333,0.7291666666666666,0.9495505369361257,1.0,0.6242696406070767,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,2,5,0.06766180682506662,0.1066544607918076,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER控烟强执行 -> WHO卷烟吸烟率：证据分=0.62，机制/探索证据；只作机制解释、敏感性或探索材料。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
mpower_comprehensive_package_high,MPOWER综合控烟政策包高水平,风险治理-控烟,delta_dbd_smoking_per100k,吸烟风险暴露负担年变化,direct_risk_burden_change,0.21,探索性证据,0.5725,0.38123258826719786,0.7291666666666666,0.9495505369361257,1.0,0.6209979270323697,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,4,3,0.029131843201062435,0.1096102136464645,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER综合控烟政策包高水平 -> 吸烟风险暴露负担年变化：证据分=0.62，机制/探索证据；只作机制解释、敏感性或探索材料。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
mpower_tobacco_strong,MPOWER控烟强执行,风险治理-控烟,gbd_rate_chronic_respiratory_diseases_per100k,慢性呼吸系统疾病负担,direct_health_or_risk_burden,0.4700000000000001,探索性证据,0.612,0.24366578319185012,0.7291666666666666,0.9495505369361257,1.0,0.6189415701695604,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,4,3,0.0,0.0812219277306167,31,0.7982021477445026,控烟路径有政策-暴露-风险负担-缺口机制链。,MPOWER控烟强执行 -> 慢性呼吸系统疾病负担：证据分=0.62，机制/探索证据；只作机制解释、敏感性或探索材料。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
primary_care_ncd_ready,基层NCD服务准备度提升,基层NCD连续服务,ncd_hypertension_treatment_pct,高血压治疗覆盖率,service_coverage_intermediate,0.7000000000000001,探索性证据,0.636,0.46105199740288266,0.55,0.6495505369361256,1.0,0.6137738932521027,机制/探索证据,只作机制解释、敏感性或探索材料。,12,6,3,3,0.037485144579601615,0.0807698083710273,31,0.7982021477445026,政策包机制可解释，主要用于适配而非单独因果证明。,基层NCD服务准备度提升 -> 高血压治疗覆盖率：证据分=0.61，机制/探索证据；只作机制解释、敏感性或探索材料。,服务覆盖/能力路径可以说明政策响应改善，但不直接等同于死亡率或DALY下降。
hypertension_policy_ready,高血压政策准备度提升,慢病服务-高血压,ncd_hypertension_control_pct,高血压控制率,service_coverage_intermediate,0.7000000000000001,探索性证据,0.6418,0.5190703545317471,0.45,0.6495505369361256,1.0,0.6127690139640097,机制/探索证据,只作机制解释、敏感性或探索材料。,12,6,4,2,0.17147404239682762,0.1790618090441921,31,0.7982021477445026,机制链证据不足，保留为探索或情景模拟。,高血压政策准备度提升 -> 高血压控制率：证据分=0.61，机制/探索证据；只作机制解释、敏感性或探索材料。,服务覆盖/能力路径可以说明政策响应改善，但不直接等同于死亡率或DALY下降。
ncd_tobacco_policy_execution,NCD控烟政策执行,风险治理-控烟,dbd_smoking_per100k,吸烟风险暴露负担,direct_health_or_risk_burden,0.2899999999999999,探索性证据,0.538,0.5812546721807015,0.55,0.9495505369361257,1.0,0.611288347964332,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,3,4,0.29408541094595475,0.0780706555692414,31,0.7982021477445026,政策包机制可解释，主要用于适配而非单独因果证明。,NCD控烟政策执行 -> 吸烟风险暴露负担：证据分=0.61，机制/探索证据；只作机制解释、敏感性或探索材料。,控烟路径有政策事件和风险结果支撑，适合作为准因果主线；仍需避免随机实验表述。
diet_salt_policy_execution,控盐膳食政策执行,风险治理-膳食控盐,dbd_dietary_risks_per100k,膳食风险负担,direct_health_or_risk_burden,0.38,探索性证据,0.642,0.15724863058574606,0.55,0.9495505369361257,1.0,0.5953673208931896,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,5,2,0.0,0.0524162101952487,31,0.7982021477445026,政策包机制可解释，主要用于适配而非单独因果证明。,控盐膳食政策执行 -> 膳食风险负担：证据分=0.60，机制/探索证据；只作机制解释、敏感性或探索材料。,该路径用于扩展政策组合，需与A/B/C压力画像和情景模拟共同解释。
ncd_capacity_high,NCD综合能力高水平,综合治理能力,ncd_service_coverage_score,NCD服务覆盖综合分,service_coverage_intermediate,0.5700000000000001,政策适配候选,0.6591,0.27931279636584866,0.55,0.6495505369361256,1.0,0.5953522290758069,机制/探索证据,只作机制解释、敏感性或探索材料。,12,5,5,2,0.0,0.0931042654552829,31,0.7982021477445026,政策包机制可解释，主要用于适配而非单独因果证明。,NCD综合能力高水平 -> NCD服务覆盖综合分：证据分=0.60，机制/探索证据；只作机制解释、敏感性或探索材料。,服务覆盖/能力路径可以说明政策响应改善，但不直接等同于死亡率或DALY下降。
