vulnerability_type_code,vulnerability_type_label,risk_column,risk_label,contribution_share,absolute_beta,rank_within_type
1.0,类型1-高负担转型承压型,dbd_high_sbp_per100k,高收缩压,0.3736112659003629,0.6811869689711885,1
1.0,类型1-高负担转型承压型,dbd_smoking_per100k,吸烟,0.20221719378955516,0.4725914663031163,2
1.0,类型1-高负担转型承压型,dbd_high_glucose_per100k,高血糖,0.1557441612014664,0.33256124931211484,3
1.0,类型1-高负担转型承压型,dbd_high_bmi_per100k,高BMI,0.10249683430643916,0.25029872208677095,4
1.0,类型1-高负担转型承压型,dbd_dietary_risks_per100k,膳食风险,0.08726467310426977,0.2161964553040438,5
1.0,类型1-高负担转型承压型,dbd_pm25_per100k,PM2.5,0.07866587169790662,0.21390957020610846,6
2.0,类型2-低缓冲低承载型,dbd_high_sbp_per100k,高收缩压,0.3115282910424274,0.4802749559308895,1
2.0,类型2-低缓冲低承载型,dbd_high_glucose_per100k,高血糖,0.20856833050320106,0.40290467578054456,2
2.0,类型2-低缓冲低承载型,dbd_dietary_risks_per100k,膳食风险,0.18639667494766188,0.33536689983543444,3
2.0,类型2-低缓冲低承载型,dbd_smoking_per100k,吸烟,0.14598571863453783,0.26269792226569316,4
2.0,类型2-低缓冲低承载型,dbd_pm25_per100k,PM2.5,0.09579780460127388,0.16454788652765037,5
2.0,类型2-低缓冲低承载型,dbd_high_bmi_per100k,高BMI,0.05172318027089803,0.09450819392818427,6
3.0,类型3-相对稳健型,dbd_high_sbp_per100k,高收缩压,0.23842452278037501,0.3539196634819895,1
3.0,类型3-相对稳健型,dbd_high_glucose_per100k,高血糖,0.22228274472708967,0.42307302452129386,2
3.0,类型3-相对稳健型,dbd_dietary_risks_per100k,膳食风险,0.16509677625819236,0.2569530661785418,3
3.0,类型3-相对稳健型,dbd_smoking_per100k,吸烟,0.1511614116769398,0.2526389876156453,4
3.0,类型3-相对稳健型,dbd_pm25_per100k,PM2.5,0.1309075834683456,0.21594947396096667,5
3.0,类型3-相对稳健型,dbd_high_bmi_per100k,高BMI,0.09212696108905755,0.18468076748870335,6
